Name,Unit,Carbohydrate,Protein,Fat,Sugars,Sodium,Cholesterol,Saturated fat,Trans fat
군만두,1인분,46.2,26.7,23.6,0,574.8,27.5,7.1,0
굴국밥,1인분,74.3,19.5,5.5,2.5,801,64,1,0
굴밥,1인분,50.7,19.8,12.6,0.8,792,77,2.1,
굴비구이,1인분,0.3,31,10.6,0,288.4,192.7,21.3,0
굴짬뽕,1인분,135.3,16,13,3.2,1687,88,2,0
궁중 떡볶음,1인분,38.44,6.22,3.36,0,232.37,0,0,0
규동,1인분,70.27,23.87,35,94,757,94,8.6,0
귤,1인분,10.8,1,0.1,,15,0,0,0
귤잼,1인분,16,0.2,0,0,3.4,0,0,0
귤통조림,1인분,16.2,1.2,0.2,,3,0,0,0
그래놀라 (시리얼),1인분,64.6,18.1,29.7,24,27,0,5.5,0
그린티 바나나 블렌디드,1인분,,8,,22,0.055,,,
그린티 크림 프라푸치노,1인분,35,3,4,33,163,0,0,0
그린티라떼,1인분,41,10,10,40,120,,,
근대된장국,1인분,5.4,4.4,1.1,0,732.7,8.4,0,0
금귤(낑깡),1인분,21.2,1.1,0.1,0,16,0,0,0
기스면,1인분,42,5,8,4,170,5,3.7,0
김말이튀김,1인분,7.3,1.8,2.8,0.2,51,21,0.7,0.6
김무침,1인분,1,0.9,1,0,68.4,0,0.1,0
김밥,1인분,71.2,10.6,12.7,,661.8,79.2,1.6,0
김자반,1인분,1,2,2,0,0,0,0,0
김치국,1인분,2.9,2.7,0.6,,882,12.5,0,0
김치김밥,1인분,79.5,8.4,5.7,1.8,343,0,0.9,0
김치라면,1인분,79,11,15,4,1740,0,7,0
김치만두,1인분,43,11,10,4,500,5,1.7,0
김치말이국수,1인분,76.7,17.3,7,4,951,24,1.3,0
김치볶음,1인분,3.3,4.8,9.7,0,694.6,11,2.7,0
김치볶음밥,1인분,60.7,10.2,10.7,,817.9,13.8,3.2,0
김치수제비국,1인분,18.4,4.5,0.6,,821.4,14.8,0,0
김치쌈밥,1인분,39.48,7.55,4.11,0,553.19,0,0,0
김치우동,1인분,82.2,12,10.8,2.3,809,15,2.6,0
김치전,1인분,19.3,6.1,6.5,0,743.1,54.9,1.1,0
김치전골,1인분,16.8,10.5,9.1,,719.4,16.6,3.4,0
김치찌개,1인분,6.4,7.5,7.5,1.7,442,15,1.9,0
김치참치덮밥,1인분,75,18,6,5,1180,15,1,0
김치참치볶음밥,1인분,60,12,11,0,960,5,3.2,0
김치콩나물국,1인분,60,12,11,0,960,5,3.2,0
까르보나라 파스타,1인분,87,16,26,4,1250,45,15,0.6
깍두기,1인분,3.7,0.8,0.1,,298,0,0,0
깐쇼새우,1인분,34.2,22.5,13.4,3.6,928,138,1.2,0
깐풍기,1인분,22.4,13.8,16.3,0,360,92.5,1.6,0
깨찰빵,1인분,34.3,3.6,2.6,15.2,164,21,0.4,0
깻잎김치,1인분,5.6,2.9,0.4,1.2,0,424,0,0
깻잎나물,1인분,7.3,3.6,2.2,,426.1,0,0.2,0
깻잎볶음,1인분,5.76,3.76,7.22,0.29,521.34,0,0.83,0.04
깻잎장아찌,1인분,4.7,2,0.5,0,414.2,0,0,0
깻잎전,1인분,16.3,8.8,7.8,0,104.8,381,1.4,0
꼬리곰탕,1인분,0,9,2.4,0,420,15,1,0
꼬막,1인분,0.2,1.2,0.1,0,5,3,0,0
꼬막무침,1인분,7.8,8.8,4.9,0.7,270,18,0.7,0
꽁치구이,1인분,0.1,13.6,6,0,727.9,44.8,2,0
꽁치김치찌개,1인분,6.1,8.41,7.66,1.68,0.431,0.019,1.45,
꽁치찌개,1인분,9.3,18.5,8.2,,675.5,44.8,2.3,0
꽃게볶음,1인분,10.03,10.36,2.91,0,317.08,0,0,0
꽃게탕,1인분,6.9,11.9,0.9,,920.8,84,0,0
꽃등심구이,1인분,0,17.51,22.07,,0.056,0.068,0.009,
꽈배기,1인분,16.2,1.3,6.3,4.2,114,7,1.6,0
꿀떡,1인분,11.5,1,0.3,0.7,2,0,0.3,0
꿔바로우,1인분,33.1,22.4,17.3,3.6,878,52,2.8,0
나박김치,1인분,2.5,0.8,0.1,,1256,0,0,0
나시고랭,1인분,44.9,12.9,12.2,2,739,97,2,0
나주 곰탕,1인분,17.7,15.3,4.9,,12220.8,30.6,0,0
나쵸(치즈 바른),1인분,18,3.9,4.3,0,429.8,4.5,0,0
낙지덮밥,1인분,64.3,26.6,4.6,8.2,1128,63,0.7,0
낙지볶음,1인분,72,8,5,3,770,15,1.1,0
낙지볶음면,1인분,27.56,9.63,1.03,0,270.05,0,0,0
낙지볶음밥,1인분,72,8,5,3,770,15,1.1,
낙지찌개,1인분,9.3,16.6,4.4,,957.5,83.4,0.3,0
난자완스,1인분,24,15,17,13,950,40,6,0
내장탕,1인분,5.7,12.6,12,0,744,208,2,0
냉국,1인분,3.49,0.48,0.28,2.46,288.56,0,0.03,0
냉모밀,1인분,51.3,7.9,4.7,1,452,13,0.7,0
냉이나물,1인분,10.1,4.3,2.2,,320.3,0,0.2,0
냉이된장국,1인분,7.5,8.6,3,,594.6,12.5,0.2,0
냉이된장찌개,1인분,10.8,6.3,1.6,,752.5,4.3,0,0
너구리,1인분,81,7,17,4,1.7,0,8,
녹두빈대떡,1인분,26.7,9.8,8.6,4.5,919,0,1.2,0
녹두죽,1인분,41.3,7.2,0.9,0.5,376,0,0.2,
녹차라떼,1인분,26.15,5.8,5.8,27.4,72,18,3.3,0
놀부김치부대찌개,1인분,74.5,50.1,23.47,,3616.9,172.5,,
느타리버섯볶음,1인분,6.2,2.4,3.1,0,699.1,0,0.4,0
다이어트 코크,1인분,0.1,0,0,0,2.3,0,0,0
다즐링,1인분,0.1,0.2,0.1,0.1,0.1,0,0,0
다크 모카프라푸치노,1인분,42,5,12,38,181,12,0,
단감,1인분,23,0.9,0,,13,0,0,0
단팥빵,1인분,41.6,6,3.2,0.7,271,28,0.6,0
단팥죽,1인분,87.8,11.5,0,,339.3,0,0.1,0
단호박 (찐 것),1인분,11.6,1.3,0.3,3.9,7,0,0.1,
단호박 스프,1인분,22,3,12,9,400,30,8,0
단호박샐러드,1인분,23,2,11,7,0.18,0,2.7,
단호박영양밥,1인분,58,7,9,5,260,0,1.7,0
단호박전,1인분,45.97,6.59,10.63,0,77.06,0,0,0
단호박죽,1인분,70.2,9.3,0.7,0,345.8,0,0,0
달걀국,1인분,1.31,3.57,2.34,0.03,274.63,93.91,0.75,0.01
달걀말이,1인분,5.8,14.2,17.2,1.5,365,455,3.8,9
달걀토스트,1인분,61.82,21.57,15.7,6.19,0.803,0.387,3.934,
달래된장국,1인분,8.5,7,2.8,,609,0,0.2,0
달래된장찌개,1인분,19.9,10.1,3.7,,899.5,12.8,0,0
달래무침,1인분,2.8,1.6,1.6,0.9,257,0,0.2,0
닭가슴살,1인분,0,29.5,7.7,0,393,83,2.1,0
닭강정,1인분,19.9,12.9,15.3,0,282,93.5,1.4,0
닭개장,1인분,7.3,31.3,14.5,0.8,886,98,3.7,
닭고기 롤,1인분,16.39,11.21,9.48,0,70.14,0,0,0
닭고기 바비큐,1인분,14.38,13.29,8.81,0,75.33,0,0,0
닭고기 샐러드,1인분,8.51,2.1,16.3,0.5,244,38,3.1,0
닭고기 양배추 쌈,1인분,8.92,14.7,11.33,0,68.96,0,0,0
닭고기 편육,1인분,8.26,19.3,15.46,0,236.9,0,0,0
닭고기덮밥,1인분,74.8,16.7,6.5,,384.6,45,0,0
닭고기육개장,1인분,7,2,1.1,1,1280,0,0.4,0
닭곰탕(닭국),1인분,6.6,12.6,6.4,0,712.8,45,0,0
닭꼬치,1인분,0.8,13.9,8.5,0.4,332,51,2.3,0
닭똥집,1인분,0,30.3,2.6,0,56,370,0.6,0.1
닭매운탕,1인분,13.6,13.6,8.9,,634.2,45,0.3,0
닭발,1인분,0.2,19.4,14.6,0,67,84,3.9,0
닭백숙,1인분,39.3,19.2,8.6,,727.5,60,0,0
닭볶음탕,1인분,9.4,25.7,9.5,2.5,185,76,2.3,0
닭죽,1인분,42.3,15,0.2,,359.3,35,0.2,0
닭한마리,1인분,13.4,71.9,21.6,1.9,1553,225,5.7,0
대게,1인분,0,14.4,0.8,0,235,62,0.1,
대구 크림 스튜,1인분,4.44,28.08,5.54,0,405.51,0,0,0
대구매운탕,1인분,13.3,17.9,2.3,,706.7,53.9,0.2,0
대구탕,1인분,5.5,13.8,0.6,,1121.2,53.9,0,0
대구포,1인분,0.3,11.7,0.5,0,174.1,101.3,0,0
대추죽,1인분,29.3,2.95,0.86,0,1.55,0,0,0
대하 구이,1인분,0.1,14.4,0.4,,96,236.8,0,0
대하찜,1인분,0,1.3,0.1,0,29,10,0,0
더블 1955버거,1인분,,50,,12,0.862,,17,
더블 치킨박스,1인분,,103,,1,4.1,,27,
더블불고기버거,1인분,21,29,9,0,0,0,9,0
더블와퍼세트,1인분,,17,,4.6,570,,8,
더블치즈버거,1인분,47.3,55.1,67.1,0,1464,180.4,0,0
더블쿼터파운더버거,1인분,8,49,25,8,1320,0,25,0
더위사냥,1인분,26,1,2.5,17,70,0,2.5,0
더치커피,1인분,1.9,0,0,1.9,8,0,0,0
데니쉬식빵,1인분,,5,,3,0.28,,7,
데니스페스츄리,1인분,,5,,8,0.13,,6.6,
데자와,1인분,18,2,1.8,,,,,
도가니탕,1인분,18.6,20.7,16.9,0,1217.9,70.2,10.5,0
도라지나물,1인분,12.9,1.5,1.6,,347.6,0,0.2,0
도라지생채,1인분,23.56,2.29,1.34,9.82,527.16,0,0.15,0
도미구이,1인분,0,13.8,0.9,0,734.9,49,0.2,0
도미찜,1인분,6.3,16.5,2.9,0,788.2,49,0.4,0
도토리묵,1인분,10,0.2,0.2,0,3,0,0.2,0
도토리묵무침,1인분,12.2,2,1.5,0,629.2,0,0.1,0
도토리묵밥,1인분,61.7,10.3,5.3,2,781,23,1,
돈까스정식,1인분,46,21.4,32.9,,729.1,101.1,10.2,0
돈육김치찌개,1인분,4.6,9.4,7.9,,1035.6,16.5,3.2,0
돈코츠라멘,1인분,83.4,14.48,10.7,1.2,1207,21,4.2,0
돌솥밥,1인분,73.8,9.6,8.8,3.8,455,8,1.6,0
돌솥비빕밥,1인분,65.9,16.2,14.9,4.4,410,174,3.3,0
동그랑땡,1인분,0.9,1.7,2.1,0.1,39,14,0.6,0
동치미,1인분,3,0.7,0.1,,609,0,0,0
동태국,1인분,4.9,12.2,0.6,,658,65.7,0,0
동태매운탕,1인분,11.3,14.3,1.1,,1104.1,65.7,0,0
동태전,1인분,9.8,23.6,13.1,0.4,1039,106,1.6,0
동태찌개,1인분,9.9,17.2,2.6,,711.9,61.6,0.2,0
돼지 곱창구이,1인분,1.1,11.1,9.2,0,89,110,1.9,0.1
돼지갈비,1인분,0,21.7,22.6,0,191,90,8.3,0
돼지갈비 볶음,1인분,6.55,12.04,8.42,0,293.29,0,0,0
돼지갈비구이,1인분,29.07,72.69,59.37,11.37,1341.59,189.03,21.84,0.34
돼지갈비찜,1인분,13.3,20.4,15.1,0,817,69,0.1,0
돼지고기 수육,1인분,3.9,52.2,22.8,2.4,808,144,8.4,0
돼지고기메추리알장조림,1인분,3.37,8.34,1.85,1.27,582.99,47.64,0.44,0
돼지고기볶음,1인분,12.7,12.1,16.3,0,566.7,33,6.5,0
돼지고기찌개,1인분,13.3,16.5,14.3,,1042,39.9,6.2,0
돼지국밥,1인분,23.4,27.5,10.4,0.6,1131,70,3.1,
돼지김치찜,1인분,13.16,34.87,21.34,8.55,1.346,0.525,1.346,
돼지껍데기,1인분,0,3,1.5,0,92,5,0.5,0
된장국,1인분,9.9,5.5,1.8,3.3,1407,0,0.4,
된장찌개,1인분,11.7,8.3,2.7,,851.3,20.9,0.1,0
두릅무침,1인분,8.3,3,1.9,,429.5,1.3,0.2,0
두부 달걀전,1인분,4.51,13.01,12.43,0,164.53,0,0,0
두부 채소 볶음밥,1인분,60.3,13.63,6.58,0,212.77,0,0,0
두부 튀김 조림,1인분,14.34,6.96,16.2,0,139.21,0,0,0
두부김치,1인분,24.4,26.1,13.8,4.1,1562,0,2,0
두부된장찌개,1인분,11.1,8.6,3.5,,705.1,4.3,0.3,0
두부샌드위치,1인분,22.25,8.31,9.67,0,7.51,0,0,0
두부전,1인분,5.1,9.1,10.3,0,355.3,47.5,1.7,0
두부조림,1인분,3.7,9.6,14.9,1.4,668,0,1.8,0
두유,1인분,12.08,10.98,4.7,1.22,0.135,0,0.571,
드립커피,1인분,0,0.2,0,0,5,0,0,0
등심 배구이,1인분,3.8,7.91,5.18,0,239,0,0,0
등심돈가스,1인분,17,16,2,0,330,20,0.7,0
딸기,1인분,17.8,1.6,0.4,0,26,0,0,0
딸기 요거트,1인분,13,3,3,13,45,8,2,0
딸기 요거트 블렌디드,1인분,45,8,1.7,35,130,0,0,0
딸기 크림 프라푸치노,1인분,53,3.8,326,53,153,0,0,0
딸기바나나쥬스,1인분,23,4,4.8,20,65,15,3.3,
딸기스무디,1인분,82,3,0.6,81,113,0,0.6,
딸기우유,1인분,25,6,3.8,25,100,13,2.5,
딸기잼,1인분,12,0,0,10,0,0,0,0
딸기쥬스,1인분,25,1,0,19,15,0,0,
땅콩조림,1인분,10.1,5.5,9.8,0,296.7,0,0,0
땅콩크림빵,1인분,27,6,17,8,190,35,7,0.5
떡갈비,1인분,4,32.9,29.1,1.1,579,109,11.8,0
떡국,1인분,80.2,13.3,5.4,,861.7,105.2,0.7,0
떡꼬치,1인분,23.65,2.3,3.9,3.6,183,0,0.4,
떡라면,1인분,79.2,15.1,17.8,0.9,1213,9,7.4,0
떡만두국,1인분,75.2,21,14.4,0,1327.8,4303.8,0.6,0
떡볶이,1인분,58.4,5.9,11.4,5,468,0,1.7,0
또띠아,1인분,18.8,5.33,4.19,1.18,238,9,1.4,
똠양꿍,1인분,17.8,24.4,2.7,11.3,560,166,0.5,0
뚝배기불고기,1인분,9.74,36.4,13.2,4.6,368,54,3.2,
라면,1인분,73.9,15.9,20.5,0,1251.9,239.8,1.5,0
라벤더 카페 브라베,1인분,,7,,30,0.14,,22,
라볶이,1인분,67.7,10.3,13.8,9.9,670,11,2.8,0
라비올리 크림소스,1인분,34,12,7,12,550,10,3.6,0.5
라비올리 토마토소스,1인분,55.86,14.46,6.43,0,116.46,0,0,0
라임 패션티,1인분,35,0,0,35,23,,0,
라조기,1인분,22.4,13.8,16.3,0,260,92.5,1.6,0
랍스터,1인분,1.5,23.9,0.6,0,826,84,0.1,
레몬,1인분,7,1.4,0.8,,4,0,0,0
레몬 머랭 프라푸치노 라이트,1인분,47,5,8,40,240,0,0,
레몬에이드,1인분,25,0,0,24,3,0,0,
로스트비프,1인분,0,5.4,3.6,0,46,16,1.4,0
로제 파스타,1인분,30,9.2,7.3,1,250,43,2.8,
롱스틱파이,1인분,13,1,7,4,55,0,3.2,
류산슬덮밥,1인분,73.95,26.96,19.04,0.42,1579.35,120.87,3.39,0.12
리스트레토 비안코,1인분,14,8,161,12,105,0,0,0
리조또,1인분,22.5,8.1,7.5,3,363,24,4,
리코타치즈샐러드,1인분,7.1,6.1,8.8,4,215,26,4.4,0
마가리타,1인분,10.6,0,0,9.8,295,0,0,
마늘 치킨,1인분,13.6,22.2,21.6,0.4,242,92,6.2,0
마늘빵,1인분,8,1,1,1,48,2,1,0
마늘장아찌,1인분,2.3,0.7,0,0,453.8,0,0,0
마늘쫑무침,1인분,6,1,1,0,522.2,0,0.1,0
마른 오징어,1인분,11.6,59,5.2,0,608,883,1.3,0
마티니,1인분,0.4,0,0,0.1,1,0,0,0
마파두부,1인분,9.1,9.8,8.1,0,536.6,12.8,0.8,0
막걸리,1인분,2.7,2.4,0,0,9,0,0,
막국수,1인분,89.6,17,6.4,2.7,1059,0,0.9,0
막창,1인분,5.7,29.8,51.5,0.8,1036,422,20.7,
만두국,1인분,32.8,20.5,18.5,0,1315.6,362.2,0.3,0
만주,1인분,21.6,2.8,2.3,1.1,86,1,0.1,0
말차 샷 민트 티,1인분,,0.25,,22,0,,0.01,
망고,1인분,16.9,0.6,0.1,,1,0,0,0
망고 바나나 블렌디드,1인분,,4,,48,0.11,,1,
망고 쥬스,1인분,27,1,0,24,35,0,0,0
망고 패션 후르츠 블렌디드,1인분,44,1,0,41,95,0,0,
매실장아찌,1인분,7.3,0.4,0.2,3.7,403,0,0,0
맥더블,1인분,6,23,10,6,875,0,10,0
머리고기,1인분,0,13.8,10.9,0,830,69,3.3,0
머핀,1인분,28.8,5,7.1,4.8,290,29,1.7,0
메가맥,1인분,,40,,7,1.224,,17,
메기매운탕,1인분,9.1,13.6,5,,646.6,44.8,0.1,0
메론,1인분,14.4,1.4,0.3,13.9,28,0,0.3,0
메론빵,1인분,57,8,10,19,243,51,4.4,
메리 화이트 돌체 라떼,1인분,42,13,5.6,42,208,0,5.6,
메밀국수,1인분,63.1,14.7,2.3,0,1855.7,0,0,0
메밀전병,1인분,48.6,11.3,9.3,6.7,631,74,1.7,0
멸치주먹밥,1인분,36.5,6,3.7,0.4,487,8,0.6,0
멸치풋고추볶음,1인분,3.41,4.65,2.24,1.43,275.54,36.6,0.39,0.02
모과차,1인분,23.8,0.3,0,9.2,7,0,0,0
모닝빵,1인분,17.4,3.2,1.4,2,157,0,0.3,0
모카빵,1인분,46.3,6.9,8.8,1.3,236,12,0,0
모히토,1인분,24.9,0.1,0,23.4,30,0,0,0
무국,1인분,6.1,6.4,3.3,,685.4,10.2,0,0
무나물,1인분,4.8,0.7,1.1,0.8,138,0,0.1,0
무말랭이무침,1인분,20.8,3.9,1.6,0,619.4,2.2,0,0
무생채,1인분,6.8,1,0.6,0,76.8,0,0,0
무장아찌,1인분,9.8,1.6,1,3.4,424,2,0.2,0
무지개떡,1인분,53.2,3.5,0.2,10.1,162,0,0,0
무청김치,1인분,1.4,1.6,0.4,,373.2,0,0,0
묵무침,1인분,12.2,2,1.5,0,629.2,0,0.1,0
묵은지김치찌개,1인분,14,13,12,7,2150,45,0.7,0.5
문어숙회,1인분,2.2,13.7,1,0,153,99,0.2,0
문어초밥,1인분,81.78,14.61,0.74,13.38,1200.86,70.08,0.35,0
물,1인분,0,0,0,0,5,0,0,
물냉면,1인분,76.3,19.7,6,0,1854.1,134.1,0.1,0
물만두,1인분,47.7,29.9,20.3,0,896.4,122.5,7,0
물회,1인분,19,20,5.9,2.5,278,47,0.9,0
뮤즐리,1인분,74.6,9.4,5.7,28.6,160,0,0.7,0
미꾸라지튀김,1인분,28.85,10.89,25.39,0.3,324.47,50.15,3.89,0.15
미나리나물,1인분,6.3,2,0.5,,496.2,0,0,0
미나리전,1인분,34.2,5.25,7.65,1.8,248.7,11.88,1.2,0
미소된장국,1인분,7.7,6,3.3,2.5,998,0,0.6,0
미소라멘,1인분,89.1,26.8,14.3,1.5,1496,72,4.4,0
미숫가루,1인분,27.5,5.2,1,0.3,4,0,0.1,
미역 조랭이 떡국,1인분,65.97,9.28,11.01,0,774.18,0,0,0
미역국,1인분,2.9,5.7,6.8,,917.4,10.2,0.7,0
미역국밥,1인분,57,6,2.4,,790,0,1.1,
미역나물,1인분,4.2,1.6,0.5,,545.3,0,0,0
미역냉국,1인분,9.3,1.9,0.9,,939.3,0,0,0
미역줄기볶음,1인분,5.2,1.7,5.8,0,365.3,0,0.8,0
미역초무침,1인분,11.3,2.4,0.4,0,678.5,0,0,0
미트소스 스파게티,1인분,62,13,9,14,690,15,0.28,0
민어매운탕,1인분,10.1,19.6,6.1,,694.2,51.1,0.3,0
민어찜,1인분,0,21.5,5.9,0,1089.43,97.77,1.7,0
민트 블렌드 티,1인분,0,0,0,0,0,0,0,0
밀크 쉐이크,1인분,56.9,9,13.8,49,192,45,8.3,0
밀크티,1인분,21,2,3,18,115,0,2,
바게뜨,1인분,33.2,5.6,1.9,0.1,390,0,0.4,0
바나나,1인분,21.1,1.2,0.2,,2,0,0,0
바나나우유,1인분,27,7,8,27,110,30,0,
바나나쥬스,1인분,55.9,2.6,0.8,29.9,2,,0.2,
바닐라 쉐이크,1인분,47.9,4.7,1.5,31.1,41,4,0.8,0
바닐라 아이스크림,1인분,16.9,2.5,7.9,15.2,58,7.9,4.8,0
바닐라 크림 프라푸치노,1인분,,9,,38,0.241,,5.3,
바닐라 푸딩,1인분,24.8,2.6,4,22.8,153,8,1.7,0
바닐라라떼,1인분,27,9,9,0,105,0,0,0
바지락 볶음 면,1인분,36.34,12.56,3.98,0,447.41,0,0,0
바지락조개국,1인분,10.11,22.04,3.11,1.31,1596.17,89.36,0.57,0.02
발아현미밥,1인분,66,6,2.2,0,10,0,0.7,0
밤식빵,1인분,36.1,7.1,3.6,0.2,202,85,0.7,
밥,1인분,65.1,5.7,1,0,5,0,0.2,0
방어회,1인분,0.1,16.7,4,,22.4,62.3,3,
방울토마토,1인분,0.6,0.1,0,0.4,1,0,0,0
배,1인분,10.9,0.3,0.1,,3,0,0,0
배추 겉절이,1인분,4.9,1.9,1.7,1.7,238,0,0.2,0
배추 맑은 국,1인분,4.8,3.9,2.1,1.8,429,5,0.3,0
배추김치,1인분,2.3,1.2,0.3,,687.6,0,0,0
배추나물,1인분,7.8,1.7,0.6,,383,0,0,0
배추달걀볶음,1인분,7.32,8.44,7.48,0,187.8,0,0,0
