Name,Unit,Carbohydrate,Protein,Fat,Sugars,Sodium,Cholesterol,Saturated fat,Trans fat
배추전,1인분,23.8,6.3,5.5,3.3,269,98,1.1,0
백김치,1인분,4.7,1.2,0.1,1.4,454,0,0,0
백설기,1인분,51.9,3.5,0.8,0,234,0,0,0
백세주,1인분,6,0,0,5,0,0,0,0
버섯 굴소스 볶음,1인분,3.33,1.48,2.7,0,31.82,0,0,0
버섯 들깨탕,1인분,17.3,3.83,5.41,0,31.6,0,0,0
버섯 리조또,1인분,87.11,14.19,23.08,0,150.95,0,0,0
버섯국,1인분,7.9,2.8,0.3,,492.5,0,0,0
버섯덮밥,1인분,77.5,12.6,3.6,,480.5,19.2,0,0
버섯불고기,1인분,15.9,43.2,17.2,7.7,523,60,4,0
버섯전,1인분,18,4.6,6.1,0,354.3,47.5,1.1,0
버섯죽,1인분,41.4,6.1,3.7,,345.5,5.3,0.4,0
버섯찌개,1인분,10.5,9.2,5,1.4,748,138,1.1,
버터쿠키,1인분,8,1.5,5.5,2,33,4,0,0
버터크림빵,1인분,27.74,4.91,11.04,7.19,191.18,17.81,8.44,0.28
베리 베리 요거트 블렌디드,1인분,42,7,2,31,100,0,0,0
베이글,1인분,53,10.5,1.7,5.3,470,0,0.4,0
베이컨,1인분,0.6,6.8,10.2,,282.4,28.4,5.9,
베이컨더블치즈버거세트,1인분,,41,,44.9,1.354,,22,
베이컨토마토디럭스버거,1인분,,26,,13,1.007,,11,
베지밀 A,1인분,8,6,6,6,150,0,1.5,0
베트남쌀국수,1인분,82,7,0.7,13,0,0,,
보드카,1인분,0,0,0,0,0,0,0,0
보리밥,1인분,78.4,6.1,0.1,,5,0,0,0
보쌈,1인분,2.8,27.8,50.1,0.9,543,121,18.5,
보쌈김치,1인분,8,1.6,1.8,,460,0.4,0.1,0
복매운탕,1인분,9.8,18.7,3.2,,368.8,40.6,0.3,0
복분자,1인분,12.2,1.1,0.6,4.7,1,0,0,0
복숭아샤벳,1인분,39.18,1.57,0.3,0,8.61,0,0,0
복숭아요거트,1인분,13,3,3,13,45,8,2,0
복숭아화채,1인분,16.7,1.35,1.1,0,1.69,0,0,0
복지리,1인분,5,14.2,0.8,,942.1,40.6,0,0
볶음밥,1인분,41.7,12.4,12.3,1.5,822,103,2.2,0
볶음쌀국수,1인분,63.7,16.1,19.8,1.9,778,24,2.3,
볼네이즈 스파게티,1인분,47,10,6,3,501,18,2.4,0
봉골레 파스타,1인분,46.2,26.7,20.1,0.7,461,50,2.7,0
봉평메밀국수,1인분,76,13,2,3,1200,,,
부대찌개,1인분,41.1,27.7,38.5,3.1,2913,79,14.2,0.2
부채살(소고기),1인분,0,26.4,17.6,0,62,98,6.4,0
부추겉절이,1인분,4.1,2.8,2.1,,942,5.5,0.1,0
부추김치,1인분,4,2,0.6,,472.8,1.1,0,0
부추무침,1인분,9,7.1,1.9,0,5881,9.5,0.2,0
부추전,1인분,18.8,14,7,0,500.5,130.6,1.1,0
부침개,1인분,20,7.6,5.8,2.3,262,98,1.1,
북어계란국,1인분,2.6,18.3,5.4,,637.5,169.3,1,0
북어국,1인분,1.1,18.7,5.7,,619.4,121.8,0.9,0
북어조림,1인분,3.1,21.3,1.6,0,472.2,95.6,0.1,0
북어찜,1인분,11.2,17.4,3.2,0,822.9,74.3,0.3,0
북어채무침,1인분,5.1,14.3,2.8,0,452.9,42.3,0.2,0
북어콩나물국,1인분,2,17.7,4.2,0,605.6,74.3,0.5,0
북어포,1인분,0.32,15.42,0.38,0.22,128.99,85.02,0.14,0
불고기,1인분,11.3,13.6,6.8,,683.6,29.4,0.4,0
불고기 버거,1인분,50,17.2,7.4,8.2,713,0,0,0
불고기덮밥,1인분,48.7,28.6,12.7,3.7,304,54,3.2,0
불고기버거세트,1인분,,21,,49.3,773,,11,
불고기브리또,1인분,43,17,13,,708,,,
불고기피자,1인분,33.9,10.7,7.6,2,374,13,2.4,0
불낙전골,1인분,18.8,23.8,9,,1257.5,93.2,0.7,0
불낙죽,1인분,82,16,20,,,,,
불족발,1인분,4.5,59.5,45.2,0.5,628,284,11.9,0
붕어빵,1인분,19.9,2.1,2.4,6.2,70,13,0.4,0
브라우니,1인분,21.2,1.6,4.6,12.5,50,12,0.9,0
브로콜리(생야채),1인분,11.2,3.7,4.3,2.1,465,0,0.8,0
브로콜리쇠고기볶음,1인분,13.87,10.28,4.13,0,299.53,0,0,0
브이콘,1인분,38,2,8,4,160,0,2,0
블루베리,1인분,14.1,0.7,0.4,,6,0,0,0
블루베리 요거트,1인분,21,6,5,1.7,40,15,3.5,0
블루베리스무디,1인분,55,38,0,51.8,126,0,0,0
비비빅,1인분,28,2.3,11.3,15,,,1,
비빔국수,1인분,87.3,19.4,9.4,0,2294.6,152.3,2.1,0
비빔냉면,1인분,83,15.8,6.2,0,661.9,123.7,1,0
비빔만두,1인분,33.5,14.7,16.6,,285.2,304.5,0.1,0
비빔밥,1인분,67.5,21.1,12.7,0,647.2,256.7,2.2,0
비타500,1인분,20,0,0,16,75,0,0,0
비프 스트로가노프,1인분,26.58,15.09,7.82,0,268.95,0,0,0
빅맥,1인분,46,27,27,6,1060,0,12,0
빅맥세트,1인분,,,,,,,,
빈대떡,1인분,26.7,9.8,8.6,4.5,919,0,1.2,0
빠다코코낫,1인분,33,3,10,120,5,8,0,
뺑오쇼콜라,1인분,20,2,11,12,50,5,7,0
뼈다귀해장국,1인분,7.1,39.9,13.5,1.9,2420,106,4.4,
뽕따 수박,1인분,27,0,0.7,17,25,0,0,0
사골국,1인분,1,13.9,4.4,0.3,302,31,1.7,
사골우거지국,1인분,5,2,0.8,1,820,5,0,0
사과,1인분,19,0.3,0.2,14.3,1,0,0,0
사과잼,1인분,14,0,0,13,5,0,0,0
사브레,1인분,25,2,7,10,65,5,4.3,0
사이다,1인분,10.1,0,0,0,5,0,0,0
사천짜장,1인분,24,5,5,10,1120,5,1,0
사태떡찜,1인분,26.89,13.66,4.63,0,263.69,0,0,0
산낙지,1인분,1.5,9.7,1.3,0,150,31,0.2,0
삶은 달걀,1인분,0.5,6.2,5.3,0.5,62,212,1.6,0
삼겹살,1인분,1.1,34.4,56.4,0,1924,121,19.3,0
삼계죽,1인분,155,39,3,,,,,
삼계탕,1인분,28,88.4,47.9,,972.3,337.7,0,0
삼선볶음밥,1인분,37.1,10.1,10.8,1.3,620,108,1.8,0
삼선우동,1인분,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0
삼선자장면,1인분,126.53,33.63,18.14,10.15,2628.24,166.57,4.06,0.09
삼선짬뽕,1인분,74.1,28,7.8,1.7,985,235,1.1,0
삼양라면,1인분,42,5,12,2,1220,0,6,0
삼치구이,1인분,0,13.2,4.2,,711.8,58.1,1.7,0
상추,1인분,2.5,0.8,0.2,,3.5,0,0,0
상추겉절이,1인분,6.3,2.4,1.6,,722.7,0,0,0
상하이스파이시버거,1인분,46.8,23,21,6,909,0,5,0
새싹비빔밥,1인분,45.5,6.9,3,2.2,162,67,0.7,
새우 완자탕,1인분,9.35,10.01,1,0,204.29,0,0,0
새우 튀김,1인분,1.1,2,0.3,0,47,18,0,0
새우깡,1인분,29,3,11,1,260,0,3.6,0
새우볶음밥,1인분,41.8,10.9,11.6,1.5,925,127,1.9,0
새우초밥,1인분,9,1.7,0.1,1.8,180,8,0,0
새우튀김롤,1인분,96.28,14.47,18.17,11.15,1391.43,55.88,3.41,0.11
샐러드김밥,1인분,61.45,9.61,13.52,3.42,911.18,84.58,2.79,0.06
생강차,1인분,14,0,0.5,9,35,0,0,0
생맥주,1인분,11.8,1.5,0,0,15,0,0,0
생선까스,1인분,15.3,10.6,8.6,0,154.9,53.9,1.1,0
생선까스 정식,1인분,33.7,14.3,16,0,425.4,63.5,1.9,0
생선찜 채소말이,1인분,18.78,15.57,3.95,0,345.79,0,0,0
생선초밥(광어),1인분,77.55,27.07,3.92,7.7,808.75,46.74,1.06,0.02
생선초밥(모듬),1인분,76.43,25.42,6.06,8.65,968.94,70.88,1.51,0.04
생크림식빵,1인분,35,5,3,6,320,0,1.4,0
생크림케이크,1인분,29.6,1.6,5.8,24.9,99,26,1.6,0
샤브샤브,1인분,31.5,29.5,16.3,4.2,278,58,6.4,0
샹그리아,1인분,22.5,0.2,0,19,23,0,0,0
석화,1인분,3,7.1,0.9,,185.6,76,0.2,0
섞어찌개,1인분,13.3,9.2,4,,1015,12.8,0.2,0
선지해장국,1인분,12,49.1,21.7,1.8,2469,209,5.2,0.2
선짓국,1인분,8,12.5,2.5,,949,27.2,0,0
설렁탕,1인분,18.6,15.1,3.9,0,1246.4,30,0,0
소갈비 ,1인분,0,19.3,19.5,0,58,68,8.2,0
소갈비찜,1인분,15.5,28.1,52.5,9.4,1095,116,22,0
소고기 등심구이,1인분,1,12.2,7.7,0,433.3,38.4,0.1,0
소고기 안심구이,1인분,0,20.7,8.8,,54,62,3.5,0
소고기 채소볶음,1인분,4.81,9.56,14.8,0,217.8,0,0,0
소고기국밥,1인분,33.7,17.2,8.6,1.6,805,23,2.4,0
소고기김밥,1인분,91.6,14.4,4.4,11.8,280,13,1.6,0
소고기메추리알장조림,1인분,2.88,8.14,1.84,0.71,602.12,41.52,0.45,0.02
소고기무국,1인분,12,16.4,8.6,1.6,568,47,3.1,0
소고기버섯죽,1인분,30,6,2.9,0,460,30,2.6,0
소고기육개장,1인분,20.83,21.9,18.77,0.54,2853.09,142.71,7.27,0.76
소곱창구이,1인분,5.46,16.71,61.32,0.22,315.87,166.38,21.67,1.56
소머리국밥,1인분,43.4,14.6,9.8,1.3,490,29,2.9,
소보루빵,1인분,41,7,11,13,250,30,3.8,0
소불고기,1인분,15,56.5,20.4,7.2,571,83,5,0
소세지,1인분,0.9,5.1,8.7,0.4,343,26,3,0
소세지볶음,1인분,2.6,6.4,9.8,0.7,405,25,2.9,0
소시지빵,1인분,27.4,8.2,14.5,0.4,723,20,4.9,0
소주,1인분,0,0,0,0,0,0,0,0
송어회,1인분,0.1,14.7,2.3,,77,40.6,0,0
송이 미역죽,1인분,25.6,4.24,2.44,0,309.17,0,0,0
송이덮밥,1인분,95.6,18.22,14.06,2.27,1678.01,48.2,2.79,0.1
송편,1인분,9.8,0.9,0.3,0.6,2,0,0,0
쇠고기 감자찜,1인분,16.37,12.87,7.32,0,200.19,0,0,0
쇠고기 말이 쌈밥,1인분,27.5,11.23,6.09,0,353.57,0,0,0
쇠고기 스튜,1인분,5.9,11.71,3.39,0,244.83,0,0,0
쇠고기국,1인분,6.9,8.2,2.7,0,594.5,15.3,0,0
쇠고기김밥,1인분,91.6,14.4,4.4,11.8,280,13,1.6,0
쇠고기덮밥,1인분,61.4,25,10.8,8.2,866,54,3.2,0
쇠고기두부찌개,1인분,7.7,11,5.8,,740.2,19.2,0.3,0
쇠고기무국,1인분,12,16.4,8.6,1.6,568,47,2.1,0.4
쇠고기무침,1인분,3,14.7,3.1,,427.5,29.4,0,0
쇠고기미역국,1인분,16,15,6.7,0.7,681,36,1.8,0.1
쇠고기볶음밥,1인분,62,12,8,0,920,35,1.7,
쇠고기산적,1인분,24.7,11.5,7.7,0,699.8,69.4,1,0
쇠고기죽,1인분,27,5,3.7,0,440,10,1.7,0
쇠고기찌개,1인분,10.9,13.5,5.1,,757.7,20.4,0.2,0
수란,1인분,0.3,6.2,4.9,0.3,147,210,1.5,
수미칩,1인분,18,2,8,1,120,0,2.6,
수박,1인분,10.6,1.6,0.8,,2,0,0,0
수박 쥬스,1인분,7.6,0.6,0.1,6.2,1,0,0,0
수박 화채,1인분,25.6,1.2,0.3,22.1,2,0,0,0
수박바,1인분,19,0,1.6,15,20,0,0.8,0
수수부꾸미,1인분,42,5,0,4,120,0,0,0
수수팥떡,1인분,43.1,8.2,1.4,0,238,0,0,0
수육,1인분,3.9,52.2,22.7,2.4,808,144,8.4,0
수육국밥,1인분,66,29.3,11.6,2.4,832,73,3.5,0
수정과,1인분,30.9,0.6,0.3,0,5,0,0,0
수제비,1인분,128.38,20.84,5.55,4.32,2030.3,82.66,1.43,0.01
숙주나물,1인분,1.6,1.6,0.5,,338.2,0,0,0
순대,1인분,11.9,6,6.9,0,699.9,104.4,0,0
순대곱창볶음,1인분,11.9,6,6.9,,699.9,104.4,0,0
순대국,1인분,16.8,12,5,,658.2,51.8,0,0
순대국밥,1인분,79.2,14,4.9,,891.9,63.9,0,0
순대볶음,1인분,25.3,17.1,7.8,1.6,1066,292,2.5,0
순두부찌개,1인분,7,16.4,12.6,,1027.8,255.1,3.7,0
숯불갈비 삼각김밥,1인분,36,5.3,1.3,1.5,362,5,0.7,0
슈비버거,1인분,,20,,8,0.984,,8,
슈슈버거,1인분,,13,,7,0.776,,4,
슈크림,1인분,21.1,4.8,2.7,,131.2,77.6,0,0
스콘,1인분,19.1,3.8,6.2,1.4,277,49,1.9,0
스크램블,1인분,1.9,13,15.2,1.4,211,200,5.7,0
스크류바,1인분,22,0,0,15,0,0,0,0
스타벅스 카라멜 크럼블 모카,1인분,0,10,0,49,0.3,0,10,0
스타벅스 화이트 돌체 라떼,1인분,,12,,39,0.19,,2.5,
스테이크 샐러드,1인분,3.49,16.93,10.12,0,404.08,0,0,0
스프라이트,1인분,24,0,0,24,0,0,0,0
스프링롤,1인분,7,1,2,0,0,0,0,0
슬라이스햄,1인분,2,4,2,2,0,0,0,0
시금치나물,1인분,5.2,2.8,3.4,,517.2,0,0.3,0
시금치돼지고기볶음,1인분,7.37,9.12,4.55,0,283.9,0,0,0
시금치된장국,1인분,7.2,3.3,0.8,,732.9,1.2,0,0
시래기 된장국,1인분,5.8,4.7,1,0,661.5,24.7,0,0
시래기국,1인분,6.3,4.1,2,1,135,4,0.5,0
시래기나물,1인분,5.4,2.1,1.6,,719.2,0,0.2,0
시래기된장국,1인분,5.8,4.7,1,,661.5,24.7,0,0
시루떡,1인분,46.8,5.2,0.5,3.1,139,0,0.1,0
시저 샐러드,1인분,21,11,15,385,13,0,0,0
식빵,1인분,51.1,8.3,5.2,0,66,15,0,0
식혜,1인분,22.7,2.4,0.1,0,2,0,0,0
식혜 팥빙수,1인분,33.08,3.66,0.01,0,5.36,0,0,0
신라면,1인분,78,10,17,3,1930,0,8,0
실론티,1인분,17,0,0,14,5,0,0,0
쌀국수,1인분,0,0,0,0,0,0,0,0
쌀국수 볶음면,1인분,7.76,2.61,20.35,0,87.49,0,0,0
쌀밥,1인분,70.7,5.1,0,0,4.5,0,0,0
쌈밥,1인분,20.7,3.5,1.8,0.2,233,0,0.2,0
쏘세지야채볶음,1인분,8.8,6.6,12,,364.5,21.21,0.4,0
쑥갓나물,1인분,5.3,3.3,2.1,,458.3,0,0.2,0
쑥국,1인분,12.7,6.4,0.7,,608.4,0,0,0
쑥떡,1인분,58.6,6.2,0.5,0,212,0,0.1,0
아구찜,1인분,7.7,14.8,2.9,0,818.5,37.8,6.1,0
아메리카노,1인분,0.9,0.28,0.38,0,30,0,0.196,
아몬드,1인분,0.24,0.26,0.61,0.06,0,0,0.047,0
아욱국,1인분,4.35,6.69,1.3,0.74,140,14,0.217,0
아이스 그린티라떼,1인분,41,10,10,40,10,0,0,
아이스 라벤더 카페 브레베,1인분,,6,,27,0.11,,18,
아이스 라임 패션티,1인분,,0,,20,0.009,,0,
아이스 메리 화이트 돌체 라떼,1인분,,11,,38,0.164,,5.6,
아이스 민트 블렌드 티,1인분,,0,,0,0,,0,
아이스 블랙티라떼,1인분,,2,,13,0.03,,0,
아이스 쉐이큰 그린티 레모네이드,1인분,,0,,17,0,,0,
아이스 쉐이큰 블랙티 레모네이드,1인분,,0,,17,0,,0,
아이스 쉐이큰 패션 탱고 티 레모네이드,1인분,,0,,17,0,,0,
아이스 스타벅스 돌체 라떼,1인분,,10,,35,0.145,,2.5,
아이스 스타벅스 카라멜 크럼블 모카,1인분,,7,,45,0.265,,9,
아이스 얼 그레이 티,1인분,,0,,0,0,,0,
아이스 얼 그레이 티 초콜릿,1인분,,3,,19,0.026,,2.07,
아이스 얼그레이티 라떼,1인분,,2,,13,0.03,,0,
아이스 오렌지 & 다크 모카,1인분,,6,,16,0.08,,7,
아이스 오트밀 라떼,1인분,,2,,11,100,,0,
아이스 잉글리쉬 브렉퍼스트 티,1인분,,0,,0,0,,0,
아이스 자몽 허니 블랙티,1인분,,0,,30,0.004,,0,
아이스 제주 꿀 땅콩 라떼,1인분,,5,,20,0.105,,3.6,
아이스 제주 영귤 그린 티,1인분,,55,,48,6,,0,
아이스 제주 유기녹차,1인분,,0,,0,0,,0,
아이스 제주 호지티라떼,1인분,,7,,22,0.105,,4.5,
아이스 차이 티,1인분,,0,,0,0,,0,
아이스 차이 티 라떼,1인분,,5,,31,0.07,,3,
아이스 카라멜 마키아또,1인분,,7,,22,0.095,,4.5,
아이스 카페 라떼,1인분,,6,,8,0.075,,3.5,
아이스 카페 모카,1인분,,7,,21,0.07,,8,
아이스 카페 아메리카노,1인분,,1,,0,0.005,,0,
아이스 카푸치노,1인분,,6,,0,0.09,,3.5,
아이스 캐모마일 블렌드 티,1인분,,0,,0,0,,0,
아이스 커피,1인분,,0,,0,0.01,,0,
아이스 토피넛 크런치 라떼,1인분,,6,,25,0.195,,8,
아이스 화이트 초콜릿 모카,1인분,,8,,41,0.15,,11,
아이스 히비스커스 블렌드 티,1인분,,0,,0,0,,0,
아이스아메리카노,1인분,1.8,0.2,1.2,1.7,5,5,0.7,0
아이스카페라떼,1인분,0,6,0,8,75,0,3.5,0
아이스카페모카,1인분,0,7,0,21,70,,8,0
아이스크림,1인분,24.4,3,8.6,,93,47,7.6,0
아이스티,1인분,23.4,0,0,22.8,6,0,0,0
안심 스테이크,1인분,45.89,43.42,54.49,0,1124.95,167.1,0,0
안심돈가스,1인분,34.25,33.28,42.4,2.77,551.55,105.47,8.55,0.25
알리오 올리오 파스타,1인분,65.8,12.2,9.4,1.2,39.7,0,1.3,0
알밥,1인분,65.2,20.7,6.1,1.7,395,222,1.2,0
알탕,1인분,6.6,16.7,5.5,,2003.9,249.8,0.9,0
앙금빵,1인분,41.3,5,5.5,9.7,175,13,0.5,0
애플파이,1인분,57.5,3.7,19.3,,327,0,4.7,0
야끼우동,1인분,63.2,18.3,12.8,1.1,1198,31,2.1,0
야채 호빵,1인분,32,7,6,6,350,5,2,0
야채볶음,1인분,7.1,1.4,7,0,390.9,0,0,0
야채빵,1인분,21,7,5,5,330,0,3,0
야채오믈렛,1인분,26.75,6.76,2.87,0,250.56,0,0,0
야채죽,1인분,41,6.5,1.1,,432,5.1,0,0
야채참치죽,1인분,80,15,18,,,,,
야채타임,1인분,37,3,18,5,560,0,7,0
약과,1인분,19.8,2.1,3.9,6.6,87,0,0.3,0
약식,1인분,54.2,3.5,2.8,0,190,0,0,0
양꼬치,1인분,1.3,19.4,5.9,0.1,210,62,1.9,0
양념 닭튀김,1인분,21.13,17.75,13.39,6.24,402.74,68.89,2.69,0.11
양념 치킨,1인분,12.3,14.7,16.2,0,208,64,4.6,0
양념갈비,1인분,1.7,53.1,27.3,0.5,515,154,10.2,0
양념게장,1인분,8.7,18,6.6,2.1,697,79,0.9,0
양념장어구이,1인분,8.8,30.77,30.56,0,704.64,215.24,0,
양배추겉절이,1인분,6,1.4,1.6,,485,0,0.1,0
양상추 샐러드,1인분,8.8,1.4,3.6,5.9,181,2,0.5,0
양송이버섯볶음,1인분,7.31,3.02,5.52,0.82,343.45,0,0.95,0.03
양수박,1인분,9.8,1,0.2,,46,0,0,0
양장피,1인분,33.5,18.5,9.9,6.5,543,153,2.3,0
양파겉절이,1인분,7.7,1.1,0.1,,294.4,0,0,0
양파링,1인분,21,1,6,2,190,0,2,0
양파장아찌,1인분,3.7,0.5,0.3,1.1,223,1,0,0
어니언 링,1인분,2.5,5,3.5,2.5,476,0,3.5,0
어묵국,1인분,15.3,9.5,1.7,0,965.4,20.9,0,0
어묵김치찌개,1인분,17.2,9,4.3,,1325.8,5.6,0.4,0
어묵볶음,1인분,15.4,7.5,4.7,0,842.4,7,0.5,0
얼 그레이 티,1인분,0,0,0,0,0,0,0,0
얼 그레이 티 초콜릿,1인분,0,7,0,25,90,0,4.63,0
얼갈이 무침,1인분,6.68,4.68,4.06,0,181.11,0,0,0
얼그레이,1인분,23,5,6,21,105,18,3.8,0
얼그레이 티 라떼,1인분,,5,,19,0.1,,0,
엄마손파이,1인분,16,2,7,6,180,0,4.3,0
에그 맥머핀,1인분,3,22,5,3,814,0,5,0
에그롤,1인분,9.7,2.6,5.8,0.9,271,30,1.2,0
에스프레소,1인분,12,1.4,9.7,11.7,18,0,5.7,0
에스프레소 마키아또,1인분,,1,,0,0,,0,
에스프레소 콘 파냐,1인분,,0,,1,0,,1.5,
에스프레소 프라푸치노,1인분,,3,,22,0.125,,6,
엔칠라다,1인분,15.3,10.7,9.5,1.9,198,31,4,0
연근조림,1인분,12.5,1.8,1,0,603.9,0,0.1,0
연두부찌개,1인분,11,8.9,3.3,,503.6,4.3,0,0
연시,1인분,21,0.6,0.2,14.1,1,0,0,0
연어 샐러드,1인분,11.8,12.2,10.8,4.7,303,30,1.8,0
연어덮밥,1인분,75.1,38.3,13,8.4,1218,62,2.5,0
연어롤,1인분,74.32,18.57,15.41,8.47,1211.9,61.97,2.83,0.1
연어사시미,1인분,0,6.1,1.6,0,13,13,0.3,0
연어초밥,1인분,9,1.8,0.3,1.9,184,2,0,0
연포탕,1인분,27.4,16.5,2,4.5,954,36,0.5,0
열무김치,1인분,4.3,1.5,0.3,,311,0,0,0
열무냉면,1인분,57.6,15,5.4,1.6,1479,44,1.8,0
열무비빔밥,1인분,74.4,11.8,3.1,,717.6,12.8,0,0
열무얼갈이김치,1인분,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0
영양닭죽,1인분,42.3,15,0.2,,359.3,35,0.2,0
영양돌솥밥,1인분,79,7,0.5,,6,0.9,0,0
오감자,1인분,38,2,16,9,420,0,4.8,0
오곡라떼,1인분,9,2,1.8,9,40,5,1.4,0
오곡밥,1인분,80,10.8,2,,340,0,0,0
오꼬노미야끼,1인분,61.3,20.6,21.4,3.4,831,183,5.1,0
오늘의 커피,1인분,0,0,0,0,10,0,0,0
오뎅,1인분,11.6,7.8,6,0.6,326,87,0.9,0
오뎅탕,1인분,9,8.6,1.6,0.7,593,27,0.3,0
오렌지,1인분,11.2,0.9,0.1,,1,0,0,0
오렌지 & 다크 모카,1인분,0,8,0,20,115,0,8,
오렌지쥬스,1인분,25.7,1.7,0.5,20.8,2,0,0,0
오리불고기,1인분,5.1,11.7,7.5,2.4,170,45,1.9,0
오리주물럭,1인분,8.3,22,24.5,1.7,596,83,8.3,0
오므라이스,1인분,77.5,18.4,12.7,0,583.1,256.7,2.2,0
오믈렛,1인분,0.4,6.4,7.3,0.4,98,217,2,0
오삼불고기,1인분,18,34,25.9,7.3,451,268,6.6,0
오이 소박이,1인분,5.3,1.4,9.3,2.2,588,0,0,0
오이 초절임,1인분,19.27,0.85,13.6,0,372.92,0,0,0
오이냉국,1인분,3.1,0.9,0,1.5,346,0,0,0
오이생채,1인분,3.1,0.9,2.4,0,337.5,0,0.3,0
오이소배기,1인분,4.1,1.8,0.6,0,580.1,2.2,0,0
오이지무침,1인분,4.6,0.8,1.5,0,3.2,0,0.1,0
오이피클,1인분,5.1,0.1,0,0,133.4,0,0,0
오일소스스파게티,1인분,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
오징어(삶은것),1인분,4.2,21.6,1.9,0,514,323,0.4,0
오징어국,1인분,4.2,12.6,2.1,,575.8,114,0.2,0
오징어덮밥,1인분,77.8,21.8,4.7,,615,182.4,0.5,0
오징어돼지고기볶음,1인분,10.24,12.81,9.94,3.82,442.55,92.23,2.62,0.06
오징어땅콩,1인분,32,5,12,8,170,0,5,0
오징어무국,1인분,4,10.7,1,,574.5,114,0,0
오징어볶음,1인분,14.2,11.8,6.4,0,364.6,114,0.7,0
오징어산적,1인분,3.6,17.36,2,0.88,477.1,234.25,0.24,0
오징어찌개,1인분,7.7,17.8,2.9,,741.1,159.6,0.3,0
오징어채,1인분,1.4,12.2,0.5,0,49,2,0.1,
오징어채볶음,1인분,7.5,13,4.6,0,553.1,152.5,0.4,0
오징어튀김,1인분,6.4,5.8,2.1,0.4,147,75,0.3,0
오트밀,1인분,28,6,3.5,1.5,20,0,1,0
오트밀 라떼,1인분,,3,,14,0.15,,0,
옥수수 ,1인분,17.1,2.9,1,2.9,14,0,0.1,0
옥수수 통조림,1인분,3.7,0.4,0.2,,48.8,,,
옥수수식빵,1인분,31,5,3,4,320,0,2,0
올갱이국,1인분,,,,,,,,
와인,1인분,4,0.1,0,1.1,7,0,0,0
와퍼,1인분,,29,,10.5,0.809,,13,
와퍼주니어세트,1인분,,21,,44,911,,11,
와플,1인분,19,2.8,3.7,1.8,281,5,0,0
왕만두,1인분,15.1,5,4.2,0.4,139,11,1.2,0.1
요거트,1인분,7.7,3.6,1.99,67.7,48,8,1.28,0.057
요거트 스무디,1인분,59.2,0.9,4,,97,0,0,0
요구르트,1인분,10,1,0,9,15,0,0,0
우거지국,1인분,5.8,5.4,2.2,,655.8,5.1,0,0
우거지찌개,1인분,9.6,14.7,4.9,,935,34.6,0.2,0
우거지해장국,1인분,10.6,9.9,5.7,2.2,905,56,1.1,0
우동,1인분,48.4,14.2,3.4,0,1195.8,142.8,1.1,0
우럭매운탕,1인분,10.4,15.9,2,0,840.1,0.4,0,0
우럭회,1인분,0.1,13.5,1.3,,37.1,27.9,0,0
우렁된장국,1인분,19.22,24.62,7.73,3.56,2134.21,105.38,1.11,0.03
우렁된장찌개,1인분,7.8,9.8,3.7,,880,8,0.3,
우롱차,1인분,0.1,0,0,0,1,0,0,0
우삼겹정식,1인분,88,26,36,6,1221,118,13,1.1
우엉조림,1인분,12.1,2.4,3.4,0,655.6,0,0.4,0
우유,1인분,9.4,6.4,6.4,,110,22,4.3,0
우유식빵,1인분,31,5,5,4,570,10,3,0
울면,1인분,108.8,29.4,14.5,13.8,1165,275,2.8,0
월남쌈,1인분,12.4,5.2,1.1,1.3,78,20,0.3,0
유부초밥,1인분,77.1,9.8,12.2,0,638.8,0,0.7,0
유산슬,1인분,7.3,15.1,11.9,1.7,307,127,3.9,0
유스베리 리치 플라워,1인분,,1,,19,0.11,,0,
유스베리 티,1인분,,0,,0,0,,0,
유자차,1인분,17.5,0,0,0,0.5,0,0,0
육개장,1인분,10.7,19.2,13.4,0,948,131.1,3.4,0
육개장국밥,1인분,53,6,8,0,800,5,2.2,0
육포,1인분,8.1,19.6,3.2,0,872,60,3.2,0
육회,1인분,5.2,12.7,5.9,0,189.1,29.4,0.2,0
육회비빔밥,1인분,72.9,27.5,13,6.6,361,210,3.9,0
으깬 감자,1인분,33,3.7,7.4,2.9,485,2,1.6,0
인절미,1인분,37.6,7.8,0.3,1.7,976,0,0,0
임연수구이,1인분,0,13.7,6.1,0,748.9,56.7,0.5,0
잉글리쉬 머핀,1인분,25,6,3,2,220,0,0,0
잉글리쉬 브렉퍼스트 티,1인분,0,0,0,0,0,0,0,0
잉글리쉬 브렉퍼스트 티 라떼,1인분,24,6,0,24,75,0,0,0
자두,1인분,5.3,0.5,0.6,,1,0,0,0
자몽,1인분,7.6,0.7,0.1,,1,0,0,0
자몽 허니 블랙 티,1인분,30,0,0,30,4,0,0,
자몽쥬스,1인분,18,1,9,17,40,0,0,0
자바 칩 프라푸치노,1인분,0,6,0,42,0.18,0,9,0
자스민,1인분,0,0,0,0,1,0,0,0
자장면,1인분,129.4,26.8,19.9,6.5,600,22,5.6,0
자장밥,1인분,85.8,10.9,10,3.8,942,0,1.7,0
잔멸치볶음,1인분,6.3,6.9,3.9,0,425.2,83.6,0.4,0
잔치국수,1인분,83.1,20.7,3.9,2.6,507,26,1,0
